Run dir: /home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0024_20260527_122000
Gruppi: 9
Ordinamento: wait (asc)

=== bologna / balanced / high ===
Rank | Scenario                | MeanWait[s] | DeltaWait[%] | MeanTravel[s] | DeltaTravel[%] | MeanTimeLoss[s] | DeltaTimeLoss[s] | Censoring[%] | P95Wait[s] | P95Travel[s] | MeanSpeed[m/s] | Completed | Runs
Rank | Scenario                | MeanWait[s] | DeltaWait[%] | MeanTravel[s] | DeltaTravel[%] | MeanTimeLoss[s] | DeltaTimeLoss[s] | Censoring[%] | P95Wait[s] | P95Travel[s] | MeanSpeed[m/s] | Completed | Runs
-----+-------------------------+-------------+--------------+---------------+----------------+-----------------+------------------+--------------+------------+--------------+----------------+-----------+-----
1    | mp_lta_g060_sf050       | 913.41      | -25.17       | 1270.90       | -27.34         | 1065.95         | -479.31          | 48.20%       | 3633.10    | 4262.80      | 6.13           | 2590      | 1
2    | mp_switch_eps1          | 916.15      | -24.95       | 1276.57       | -27.02         | 1079.62         | -465.63          | 49.02%       | 3545.20    | 4204.20      | 6.25           | 2549      | 1
3    | mp_lta_g040_sf050       | 920.35      | -24.61       | 1282.93       | -26.66         | 1079.93         | -465.32          | 47.42%       | 3654.60    | 4262.40      | 6.35           | 2629      | 1
4    | mp_switch_rel010        | 927.17      | -24.05       | 1290.00       | -26.25         | 1088.82         | -456.44          | 47.88%       | 3831.75    | 4540.75      | 6.29           | 2606      | 1
5    | mp_nmin_a080_f2         | 958.98      | -21.44       | 1340.50       | -23.37         | 1137.70         | -407.55          | 49.60%       | 3892.95    | 4512.45      | 6.09           | 2520      | 1
6    | mp_spillback_on90_off80 | 969.09      | -20.61       | 1342.13       | -23.27         | 1136.02         | -409.23          | 46.84%       | 3572.15    | 4254.15      | 6.15           | 2658      | 1
7    | mp_switch_rel005        | 978.49      | -19.84       | 1338.46       | -23.48         | 1133.91         | -411.34          | 49.52%       | 3790.10    | 4429.55      | 6.39           | 2524      | 1
8    | mp_nmin_a120_f4         | 982.11      | -19.55       | 1360.78       | -22.21         | 1155.22         | -390.03          | 49.02%       | 3940.60    | 4584.20      | 6.05           | 2549      | 1
9    | mp_fair_mu3_w30         | 994.26      | -18.55       | 1385.72       | -20.78         | 1185.11         | -360.14          | 47.30%       | 3682.60    | 4418.90      | 5.95           | 2635      | 1
10   | mp_platoon_x4           | 997.03      | -18.33       | 1360.55       | -22.22         | 1162.87         | -382.38          | 49.70%       | 3769.70    | 4438.00      | 6.09           | 2515      | 1
11   | mp_fair_mu5_w20         | 1014.76     | -16.87       | 1413.49       | -19.19         | 1215.83         | -329.42          | 46.90%       | 3660.80    | 4253.30      | 5.66           | 2655      | 1
